"ID","Url","Domain","Infos","Status","Status-txt","Degree-2018","Degree-2008","Creation","Last-update","Last-url","First-social","Blog-users","Stable-users","Fb","Fb-countries","Follow-fb","Creation-fb","Degree-fb","Tw","Tw-countries","Follow-tw","Creation-tw","Degree-tw","Yt","Degree-yt","Md","Degree-md","Fk","Degree-fk"
36,"http://klamia.canalblog.com/","klamia.canalblog.com",,1,"not updated",5,5,2005,2014,"http://klamia.canalblog.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
37,"http://karlamassini.blogspot.com/","karlamassini.blogspot.com",,1,"not updated",5,9,2006,2011,"http://karlamassini.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
38,"http://kalima.hautetfort.com/","kalima.hautetfort.com",,1,"not updated",5,5,2005,2014,"http://kalima.hautetfort.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
39,"http://enmarruecos.blogspot.com/","enmarruecos.blogspot.com",,1,"not updated",3,3,2008,2008,"http://enmarruecos.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
40,"http://boubouh.over-blog.com/","boubouh.over-blog.com",,1,"not updated",3,3,2006,2013,"http://boubouh.over-blog.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
41,"http://badrryadi.centerblog.net/","badrryadi.centerblog.net",,1,"not updated",3,3,2007,2013,"http://badrryadi.centerblog.net/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
42,"http://al9adiya7amda.blogspot.com/","al9adiya7amda.blogspot.com",,1,"not updated",4,4,2008,2009,"http://al9adiya7amda.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
43,"http://9afia.blogspot.com/","9afia.blogspot.com",,1,"not updated",5,8,2006,2015,"http://9afia.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/9afia ","None:30;Morocco:38;Misc:26",94,2009,30,"NA","NA","NA","NA","NA","NA"
44,"http://emigrant.canalblog.com/","emigrant.canalblog.com",,1,"not updated",3,3,2004,2006,"http://emigrant.canalblog.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
45,"http://www.eatbees.com/blog/","eatbees.com/blog",,1,"not updated",15,21,2006,2016,"http://www.eatbees.com/blog/","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/eatbees","None:52;United-States:68;Misc:30",150,2008,30,"https://www.youtube.com/channel/UCkf8rlO4y79UC3Mpsu8P53Q",30,"https://medium.com/@eatbees ",30,"NA","NA"
46,"http://mlouizi.unblog.fr/","mlouizi.unblog.fr",,2,"alive",3,3,2007,2018,"http://mlouizi.unblog.fr/","NA","NA","NA","https://www.facebook.com/mohamed.louizi ","NA",3087,2009,33,"https://twitter.com/mohamedlouizi ","None:683;France:575;United-States:31;Belgium:19;Morocco:18;Misc:128",1454,2014,33,"NA","NA","https://blogs.mediapart.fr/mohamed-louizi/blog",30,"NA","NA"
47,"http://lailalalami.com/","lailalalami.com",,2,"alive",5,9,2001,2018,"http://lailalalami.com/",2011,"NA","NA","https://www.facebook.com/LailaLalamiAuthor ","Morocco:1292;United-States:824;Pakistan:469;Indonesia:371;India:354;Bangladesh:146;Nigeria:133;Algeria:129;Misc:1378",5449,2009,37,"https://twitter.com/LailaLalami ","None:6465;United-States:6135;United-Kingdom:847;Canada:490;India:447;Morocco:391;Pakistan:342;France:259;Misc:2624",35700,2009,53,"NA","NA","NA","NA","NA","NA"
48,"http://blogreda.blogspot.com/","blogreda.blogspot.com",,2,"alive",14,18,2005,2018,"http://blogreda.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/reda_ ","None:3765;Morocco:2106;France:265;United-States:176;Canada:100;Misc:620",7032,2011,42,"NA","NA","NA","NA","NA","NA"
